Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price ZAR,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url
raspberry-watermelon,Raspberry Watermelon,,"<p>The NASTY BAR DX1.2K is a single-use, ultra compact non-rechargeable Nicotine Salt Disposable Device that delivers up to 1,200 puffs of pure flavour satisfaction. No charging, no buttons—just a simple, easy-to-use device that’s ready to go straight out of the box. It’s the easiest way to enjoy the World’s Tastiest Flavours.</p>",published,https://static.wixstatic.com/media/98377e_dc88822d4c5f4f7bad86a89880b5713e~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_dd6e097b-9327-c3ba-f548-77a81039668e,Default,Vape-Nasty-DX1.2,,TRUE,FALSE,,,,,,,,,130.0,Option,Default,https://static.wixstatic.com/media/98377e_dc88822d4c5f4f7bad86a89880b5713e~mv2.webp
red-energy,Red Energy,,"<p>The NASTY BAR DX1.2K is a single-use, ultra compact non-rechargeable Nicotine Salt Disposable Device that delivers up to 1,200 puffs of pure flavour satisfaction. No charging, no buttons—just a simple, easy-to-use device that’s ready to go straight out of the box. It’s the easiest way to enjoy the World’s Tastiest Flavours.</p>",published,https://static.wixstatic.com/media/98377e_519869a82de84a5785b07034bbb3d86a~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_a0e4e383-dcd0-316c-1f7e-45ddef157f4a,Default,Vape-Nasty-DX1.2,,TRUE,FALSE,,,,,,,,,130.0,Option,Default,https://static.wixstatic.com/media/98377e_519869a82de84a5785b07034bbb3d86a~mv2.webp
strawberry-ice,Strawberry Ice,,"<p>The NASTY BAR DX1.2K is a single-use, ultra compact non-rechargeable Nicotine Salt Disposable Device that delivers up to 1,200 puffs of pure flavour satisfaction. No charging, no buttons—just a simple, easy-to-use device that’s ready to go straight out of the box. It’s the easiest way to enjoy the World’s Tastiest Flavours.</p>",published,https://static.wixstatic.com/media/98377e_6d517c13f43640f7a3b79d4f61fac9f0~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_f7175682-fdf4-b497-1a4a-c14c13ee901b,Default,Vape-Nasty-DX1.2,,TRUE,FALSE,,,,,,,,,130.0,Option,Default,https://static.wixstatic.com/media/98377e_6d517c13f43640f7a3b79d4f61fac9f0~mv2.webp
watermelon-ice,Watermelon Ice,,"<p>The NASTY BAR DX1.2K is a single-use, ultra compact non-rechargeable Nicotine Salt Disposable Device that delivers up to 1,200 puffs of pure flavour satisfaction. No charging, no buttons—just a simple, easy-to-use device that’s ready to go straight out of the box. It’s the easiest way to enjoy the World’s Tastiest Flavours.</p>",published,https://static.wixstatic.com/media/98377e_49af99bfeb384beba3a87ee338ada9cf~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_29c1a821-7df7-c890-d849-e530f059cd67,Default,Vape-Nasty-DX1.2,,TRUE,FALSE,,,,,,,,,130.0,Option,Default,https://static.wixstatic.com/media/98377e_49af99bfeb384beba3a87ee338ada9cf~mv2.webp
strawberry-watermelon,Strawberry Watermelon,,"<p>The NASTY BAR DX1.2K is a single-use, ultra compact non-rechargeable Nicotine Salt Disposable Device that delivers up to 1,200 puffs of pure flavour satisfaction. No charging, no buttons—just a simple, easy-to-use device that’s ready to go straight out of the box. It’s the easiest way to enjoy the World’s Tastiest Flavours.</p>",published,https://static.wixstatic.com/media/98377e_3aad9cf49c564be4b0f3618f1ead4fb8~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_6a54b723-763c-1546-cf9a-21caa9a4391e,Default,Vape-Nasty-DX1.2,,TRUE,FALSE,,,,,,,,,130.0,Option,Default,https://static.wixstatic.com/media/98377e_3aad9cf49c564be4b0f3618f1ead4fb8~mv2.webp
death-muffin,Death Muffin,,"<p><strong>The Death Muffin: Elevate Beyond Orbit</strong></p><p>Experience the pinnacle of artisanal cosmic baking. The Death Muffin isn't just a treat; it’s a high-performance botanical experience designed for the seasoned connoisseur. Crafted for those who demand the absolute maximum from their space-age snacks, this premium muffin delivers a profile of potency and purity that is unrivaled in the current market.<br>&nbsp;</p><p>&nbsp;</p><p><strong>Product Highlights</strong></p><ul>	<li>	<p>Maximum Potency: Engineered with a specialized CBD/THC concentrate, reaching a staggering 60%+ total cannabinoid density.</p>	</li>	<li>	<p>Premium Infusion: We use proprietary extraction methods to ensure a clean, fast-acting, and long-lasting effect without the bitter aftertaste of lower-grade distillates.</p>	</li>	<li>	<p>Gourmet Foundation: Beneath the power lies a rich, dark chocolate velvet muffin base, providing a decadent flavor profile that complements its intense internal chemistry.</p>	</li>	<li>	<p>Elite Status: The signature black box signifies our highest tier of potency—reserved strictly for those who prioritize strength above all else.</p>	</li></ul><p>&nbsp;</p><p><strong>⚠️ Safety Disclaimer &amp; Usage Guidelines</strong></p><p>&nbsp;</p><p><strong>EXTREME POTENCY: PLEASE READ BEFORE CONSUMING.</strong></p><p>The Death Muffin is significantly more powerful than standard market edibles. Due to the high concentration ($&gt;60\%$), we strictly advise the following:</p><p>&nbsp;</p><ul>	<li>	<p>Start Micro: Do not consume a whole muffin in one sitting unless you have a very high documented tolerance. We recommend starting with 1/8th or less and waiting at least 120 minutes to gauge the effects.</p>	</li>	<li>	<p>Environment Matters: Ensure you are in a safe, comfortable, and controlled environment. Do not operate heavy machinery, drive, or perform tasks requiring intense focus after consumption.</p>	</li>	<li>	<p>Storage: Keep in a cool, dry place and strictly out of reach of children and pets. The appearance resembles a standard baked good; ensure it remains in its labeled ""Death Muffin"" packaging.</p>	</li>	<li>	<p>Health Consultation: If you have underlying medical conditions, are pregnant, or are taking prescription medications, consult a healthcare professional before use.</p>	</li></ul>",published,https://static.wixstatic.com/media/98377e_89ea02c8d9d6453cb91a3a034a81d806~mv2.png,,,,,,,,,,Quick Dose (Pty) Ltd,cannabis,,,TRUE,product_10997292-7f62-3df0-27c1-f52464e45382,Default,Cannabis-Muffins,,TRUE,FALSE,,,,,,,,,100.0,Option,Default,https://static.wixstatic.com/media/98377e_89ea02c8d9d6453cb91a3a034a81d806~mv2.png
cherry-peach-raspberry,Cherry Peach Raspberry,,"<p>NASTY VOLT features a new dual mesh coil system with optimized power output, ensuring it delivers rich, satisfying flavour no matter the setting. Whether you’re in ECO, NORMAL, or TURBO mode the VOLT guarantees long-lasting, powerful flavor with every hit.</p>",published,https://static.wixstatic.com/media/98377e_18f9ee0e827d40ef9b56ca9f371cdb26~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_6a481bf2-3b70-6440-774c-512f1a97397a,Default,Vape-Nasty-Volt,,TRUE,FALSE,,,,,,,,,350.0,Option,Default,https://static.wixstatic.com/media/98377e_18f9ee0e827d40ef9b56ca9f371cdb26~mv2.webp
cherry-grape-plum,Cherry Grape Plum,,"<p>NASTY VOLT features a new dual mesh coil system with optimized power output, ensuring it delivers rich, satisfying flavour no matter the setting. Whether you’re in ECO, NORMAL, or TURBO mode the VOLT guarantees long-lasting, powerful flavor with every hit.</p>",published,https://static.wixstatic.com/media/98377e_2f72545139c94b17bb009a030d99c5c5~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_2eed3137-0257-55fb-5b82-dccd0bf75742,Default,Vape-Nasty-Volt,,TRUE,FALSE,,,,,,,,,350.0,Option,Default,https://static.wixstatic.com/media/98377e_2f72545139c94b17bb009a030d99c5c5~mv2.webp
apple-sour-raspberry,Apple Sour Raspberry,,"<p>NASTY VOLT features a new dual mesh coil system with optimized power output, ensuring it delivers rich, satisfying flavour no matter the setting. Whether you’re in ECO, NORMAL, or TURBO mode the VOLT guarantees long-lasting, powerful flavor with every hit.</p>",published,https://static.wixstatic.com/media/98377e_940b208e1b7e451683fa6cda0438dacc~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_1faf4a89-a2bf-09d7-c5dc-147a023c1942,Default,Vape-Nasty-Volt,,TRUE,FALSE,,,,,,,,,350.0,Option,Default,https://static.wixstatic.com/media/98377e_940b208e1b7e451683fa6cda0438dacc~mv2.webp
mango-ice,Mango Ice,,"<p>NASTY VOLT features a new dual mesh coil system with optimized power output, ensuring it delivers rich, satisfying flavour no matter the setting. Whether you’re in ECO, NORMAL, or TURBO mode the VOLT guarantees long-lasting, powerful flavor with every hit.</p>",published,https://static.wixstatic.com/media/98377e_356842f817944c3d94822af2f09b4bf5~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_c677cb8a-2420-b325-01c1-17284e07c6ae,Default,Vape-Nasty-Volt,,TRUE,FALSE,,,,,,,,,350.0,Option,Default,https://static.wixstatic.com/media/98377e_356842f817944c3d94822af2f09b4bf5~mv2.webp
cranberry-grape,Cranberry Grape,,"<p>NASTY VOLT features a new dual mesh coil system with optimized power output, ensuring it delivers rich, satisfying flavour no matter the setting. Whether you’re in ECO, NORMAL, or TURBO mode the VOLT guarantees long-lasting, powerful flavor with every hit.</p>",published,https://static.wixstatic.com/media/98377e_7366c9e13e7443f2bd34b69d59e5cceb~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_3e635345-df56-8b74-dae2-6453f8ec7c27,Default,Vape-Nasty-Volt,,TRUE,FALSE,,,,,,,,,350.0,Option,Default,https://static.wixstatic.com/media/98377e_7366c9e13e7443f2bd34b69d59e5cceb~mv2.webp
manhattan-candy,Manhattan Candy,,"<p>NASTY VOLT features a new dual mesh coil system with optimized power output, ensuring it delivers rich, satisfying flavour no matter the setting. Whether you’re in ECO, NORMAL, or TURBO mode the VOLT guarantees long-lasting, powerful flavor with every hit.</p>",published,https://static.wixstatic.com/media/98377e_21121305e6004d33bfd436690dea6b5c~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_0650da42-e317-8c21-16b3-9ece4b74399a,Default,Vape-Nasty-Volt,,TRUE,FALSE,,,,,,,,,350.0,Option,Default,https://static.wixstatic.com/media/98377e_21121305e6004d33bfd436690dea6b5c~mv2.webp
peach-ice,Peach Ice,,"<p>NASTY VOLT features a new dual mesh coil system with optimized power output, ensuring it delivers rich, satisfying flavour no matter the setting. Whether you’re in ECO, NORMAL, or TURBO mode the VOLT guarantees long-lasting, powerful flavor with every hit.</p>",published,https://static.wixstatic.com/media/98377e_d79ccab40fde464c8edee608beaae549~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_ab154052-1c0a-b17b-53b5-10958b9712ad,Default,Vape-Nasty-Volt,,TRUE,FALSE,,,,,,,,,350.0,Option,Default,https://static.wixstatic.com/media/98377e_d79ccab40fde464c8edee608beaae549~mv2.webp
peach-mixed-berry,Peach Mixed Berry,,"<p>NASTY VOLT features a new dual mesh coil system with optimized power output, ensuring it delivers rich, satisfying flavour no matter the setting. Whether you’re in ECO, NORMAL, or TURBO mode the VOLT guarantees long-lasting, powerful flavor with every hit.</p>",published,https://static.wixstatic.com/media/98377e_24f57a39360148718869858b0a0c291d~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_4939db6d-7d3a-7b84-4245-bec1ad99efc7,Default,Vape-Nasty-Volt,,TRUE,FALSE,,,,,,,,,350.0,Option,Default,https://static.wixstatic.com/media/98377e_24f57a39360148718869858b0a0c291d~mv2.webp
pineapple-ice,Pineapple Ice,,"<p>NASTY VOLT features a new dual mesh coil system with optimized power output, ensuring it delivers rich, satisfying flavour no matter the setting. Whether you’re in ECO, NORMAL, or TURBO mode the VOLT guarantees long-lasting, powerful flavor with every hit.</p>",published,https://static.wixstatic.com/media/98377e_7c1469b1fda84a99861570f4828eaef6~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_03f68c61-85ce-98d7-da83-c7661a70fd1e,Default,Vape-Nasty-Volt,,TRUE,FALSE,,,,,,,,,350.0,Option,Default,https://static.wixstatic.com/media/98377e_7c1469b1fda84a99861570f4828eaef6~mv2.webp
pineapple-passion-fruit-lychee,Pineapple Passion Fruit Lychee,,"<p>NASTY VOLT features a new dual mesh coil system with optimized power output, ensuring it delivers rich, satisfying flavour no matter the setting. Whether you’re in ECO, NORMAL, or TURBO mode the VOLT guarantees long-lasting, powerful flavor with every hit.</p>",published,https://static.wixstatic.com/media/98377e_e5d43fa983a84607923288739e004beb~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_98c44ef7-40d0-4b26-12ac-628ff7c8ec49,Default,Vape-Nasty-Volt,,TRUE,FALSE,,,,,,,,,350.0,Option,Default,https://static.wixstatic.com/media/98377e_e5d43fa983a84607923288739e004beb~mv2.webp
strawberry-grape,Strawberry Grape,,"<p>NASTY VOLT features a new dual mesh coil system with optimized power output, ensuring it delivers rich, satisfying flavour no matter the setting. Whether you’re in ECO, NORMAL, or TURBO mode the VOLT guarantees long-lasting, powerful flavor with every hit.</p>",published,https://static.wixstatic.com/media/98377e_ac5836236fb24f698957cf3c2fab5c0d~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_41d38a46-4809-4618-4f4c-3a8d58239a60,Default,Vape-Nasty-Volt,,TRUE,FALSE,,,,,,,,,350.0,Option,Default,https://static.wixstatic.com/media/98377e_ac5836236fb24f698957cf3c2fab5c0d~mv2.webp
strawberry-ice,Strawberry Ice,,"<p>NASTY VOLT features a new dual mesh coil system with optimized power output, ensuring it delivers rich, satisfying flavour no matter the setting. Whether you’re in ECO, NORMAL, or TURBO mode the VOLT guarantees long-lasting, powerful flavor with every hit.</p>",published,https://static.wixstatic.com/media/98377e_e2efd2ec0ada40cea1e738e7d7ab0a23~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_94761b93-59b8-673b-847e-aa3a559b01d3,Default,Vape-Nasty-Volt,,TRUE,FALSE,,,,,,,,,350.0,Option,Default,https://static.wixstatic.com/media/98377e_e2efd2ec0ada40cea1e738e7d7ab0a23~mv2.webp
vanilla-custard,Vanilla Custard,,"<p>NASTY VOLT features a new dual mesh coil system with optimized power output, ensuring it delivers rich, satisfying flavour no matter the setting. Whether you’re in ECO, NORMAL, or TURBO mode the VOLT guarantees long-lasting, powerful flavor with every hit.</p>",published,https://static.wixstatic.com/media/98377e_e88cb67d73844a9aa43999eeb4b14526~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_8423ba93-03cb-2033-51f6-173346726884,Default,Vape-Nasty-Volt,,TRUE,FALSE,,,,,,,,,350.0,Option,Default,https://static.wixstatic.com/media/98377e_e88cb67d73844a9aa43999eeb4b14526~mv2.webp
watermelon-ice,Watermelon Ice,,"<p>NASTY VOLT features a new dual mesh coil system with optimized power output, ensuring it delivers rich, satisfying flavour no matter the setting. Whether you’re in ECO, NORMAL, or TURBO mode the VOLT guarantees long-lasting, powerful flavor with every hit.</p>",published,https://static.wixstatic.com/media/98377e_23343c2d8517418797f6ca6532c6dae6~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_17cb5e93-a444-b5ed-b86c-df82bc590e1a,Default,Vape-Nasty-Volt,,TRUE,FALSE,,,,,,,,,350.0,Option,Default,https://static.wixstatic.com/media/98377e_23343c2d8517418797f6ca6532c6dae6~mv2.webp
peach-ice,Peach Ice,,<p>Customise your vaping experience with VERSA S and unlock endless possibilities. Each VERSA S Starter Kit includes one sleek device and a pre-filled nicotine salt pod. Choose from eight World’s Tastiest Flavours to kickstart your versatile vaping journey.</p>,published,https://static.wixstatic.com/media/98377e_4ddb2cba2dda4b0ea8a3bab303b5f904~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_826a78a3-44f7-2bed-1940-ef0c8954e54e,Default,Vape-Nasty-Versa,,TRUE,FALSE,,,,,,,,,310.0,Option,Default,https://static.wixstatic.com/media/98377e_4ddb2cba2dda4b0ea8a3bab303b5f904~mv2.webp
citronnade-twist,Citronnade Twist,,<p>Customise your vaping experience with VERSA S and unlock endless possibilities. Each VERSA S Starter Kit includes one sleek device and a pre-filled nicotine salt pod. Choose from eight World’s Tastiest Flavours to kickstart your versatile vaping journey.</p>,published,https://static.wixstatic.com/media/98377e_6466c27c8d9b4cdc9cb50e7b4b35044d~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_c0fc0b37-f9ba-552f-f7d2-cfb93ad56b79,Default,Vape-Nasty-Versa,,TRUE,FALSE,,,,,,,,,310.0,Option,Default,https://static.wixstatic.com/media/98377e_6466c27c8d9b4cdc9cb50e7b4b35044d~mv2.webp
manhattan-candy,Manhattan Candy,,<p>Customise your vaping experience with VERSA S and unlock endless possibilities. Each VERSA S Starter Kit includes one sleek device and a pre-filled nicotine salt pod. Choose from eight World’s Tastiest Flavours to kickstart your versatile vaping journey.</p>,published,https://static.wixstatic.com/media/98377e_32f15e54b3a843788c4a5ccb22de6530~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_ad23a97e-6ad9-dc9d-f927-eb2a19b8c1cd,Default,Vape-Nasty-Versa,,TRUE,FALSE,,,,,,,,,310.0,Option,Default,https://static.wixstatic.com/media/98377e_32f15e54b3a843788c4a5ccb22de6530~mv2.webp
cranberry-grape,Cranberry Grape,,<p>Customise your vaping experience with VERSA S and unlock endless possibilities. Each VERSA S Starter Kit includes one sleek device and a pre-filled nicotine salt pod. Choose from eight World’s Tastiest Flavours to kickstart your versatile vaping journey.</p>,published,https://static.wixstatic.com/media/98377e_19368db0e7004096bd3a30e63f3cd6dd~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_4d0071fd-dbf4-2600-ee52-5a385ca7a53c,Default,Vape-Nasty-Versa,,TRUE,FALSE,,,,,,,,,310.0,Option,Default,https://static.wixstatic.com/media/98377e_19368db0e7004096bd3a30e63f3cd6dd~mv2.webp
pineapple-passion-fruit-lychee,Pineapple Passion Fruit Lychee,,<p>Customise your vaping experience with VERSA S and unlock endless possibilities. Each VERSA S Starter Kit includes one sleek device and a pre-filled nicotine salt pod. Choose from eight World’s Tastiest Flavours to kickstart your versatile vaping journey.</p>,published,https://static.wixstatic.com/media/98377e_e5099f20ad914759a2e8e561c5a64755~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_731d7dec-d994-8bcd-d8c6-c818adc67809,Default,Vape-Nasty-Versa,,TRUE,FALSE,,,,,,,,,310.0,Option,Default,https://static.wixstatic.com/media/98377e_e5099f20ad914759a2e8e561c5a64755~mv2.webp
peach-mixed-berry,Peach Mixed Berry,,<p>Customise your vaping experience with VERSA S and unlock endless possibilities. Each VERSA S Starter Kit includes one sleek device and a pre-filled nicotine salt pod. Choose from eight World’s Tastiest Flavours to kickstart your versatile vaping journey.</p>,published,https://static.wixstatic.com/media/98377e_ecc30f532c784fba872ade5add035c56~mv2.webp,,,,,,,,,,Quick Dose (Pty) Ltd,nasty,,,TRUE,product_3a7dce0f-4ada-80e4-9968-ddae1ef821dc,Default,Vape-Nasty-Versa,,TRUE,FALSE,,,,,,,,,310.0,Option,Default,https://static.wixstatic.com/media/98377e_ecc30f532c784fba872ade5add035c56~mv2.webp
